No;Process;Project;Unit;Total;Activity 1;Activity 2;Activity 3;Activity 4;Activity 5
1;Total;Random;CTUe;4399;886;918;876;903;816
2;Ecotoxicity_part 2_2;Random;CTUe;252;31;54;69;74;24
3;Ecotoxicity_part 2_3;Random;CTUe;306;85;64;14;72;71
4;Ecotoxicity_part 2_4;Random;CTUe;291;99;9;85;67;31
5;Ecotoxicity_part 2_5;Random;CTUe;294;74;76;48;38;58
6;Ecotoxicity_part 2_6;Random;CTUe;221;59;52;58;19;33
7;Ecotoxicity_part 2_7;Random;CTUe;282;23;77;45;92;45
8;Ecotoxicity_part 2_8;Random;CTUe;246;18;68;49;67;44
9;Ecotoxicity_part 2_9;Random;CTUe;228;4;31;6;92;95
10;Ecotoxicity_part 2_10;Random;CTUe;255;95;0;63;59;38
11;Ecotoxicity_part 2_11;Random;CTUe;301;67;70;69;58;37
12;Ecotoxicity_part 2_12;Random;CTUe;405;91;99;93;44;78
13;Ecotoxicity_part 2_13;Random;CTUe;199;34;80;41;38;6
14;Ecotoxicity_part 2_14;Random;CTUe;251;73;26;29;86;37
15;Ecotoxicity_part 2_15;Random;CTUe;292;89;69;74;5;55
16;Ecotoxicity_part 2_16;Random;CTUe;187;7;72;92;0;16
17;Ecotoxicity_part 2_17;Random;CTUe;224;3;22;32;88;79
18;Ecotoxicity_part 2_18;Random;CTUe;165;34;49;9;4;69
19;Ecotoxicity_part 2_19;Random;CTUe;364;48;69;81;92;74
20;Ecotoxicity_part 2_20;Random;CTUe;176;85;4;23;24;40
